客户编码,客户名称,联系电话,经营地址,客户经理,负责人
1037020200279 ,黄岛区庆源发百货批发部,13792843289,青岛黄岛区红石崖办事处大窑（青岛双赢汽车运输有限公司东侧）,客户经理[和艳飞],杨玉涛
1037020200282 ,黄岛区茂源鑫商店,15863019329,青岛市经济技术开发区郭家台子社区348号,客户经理[和艳飞],高玉洪
1037020200285 ,青岛经济技术开发区小石头黄海五金建材经营部,86907515,青岛经济技术开发区小石头村北侧,客户经理[和艳飞],管成芳
1037020200286 ,黄岛区好客来永利综合商店,13658673718,青岛市黄岛区郭家台子社区283号,客户经理[和艳飞],郭绍利
1037020200308 ,青岛经济技术开发区鼎鼎盛自选超市,13105325410,青岛经济技术开发区开拓路18号内1号楼12号网点,客户经理[孙冲],张淑珍
1037020200321 ,黄岛区祥福家商店,13869861572,青岛市黄岛区张戈庄社区居委会331号,客户经理[和艳飞],管仁进
1037020200326 ,青岛旺业源商贸部,15965586821,青岛市黄岛区红石崖办事处大窑商乐城,客户经理[和艳飞],薛广叶
1037020200329 ,青岛经济技术开发区博福超市,13954261009,山东省青岛市黄岛区红石崖街道大夼村11号,客户经理[高晓岚],韩洪强
1037020200339 ,黄岛区继江商店,15205421592,山东省青岛市黄岛区辛安街道办事处黄泥崖村78号,客户经理[高晓岚],薛继江
1037020200343 ,黄岛区林利源商店,18266231907,青岛经济技术开发区可乐石社区39号,客户经理[孙冲],马林美
1037020200347 ,开发区月德祥商店,15963284037,辛安办事处东小庄村,客户经理[孙冲],赵风海
1037020200352 ,黄岛区欣合顺超市,18661601428,山东省青岛市黄岛区辛安办事处辛安村,客户经理[高晓岚],赵国臣
1037020200353 ,黄岛区宋淑明报厅,15194261852,黄岛区远洋大亚门北侧,客户经理[和艳飞],宋淑明
1037020200361 ,青岛经济技术开发区靓海晨商店,15063948520,青岛经济技术开发区辛安办事处大泊子村1号,客户经理[孙冲],宋连均
1037020200382 ,经济技术开发区精华丰商店,13455290073,青岛市黄岛区红石崖办事处大窑华丰公寓1号,客户经理[和艳飞],董立书
1037020200386 ,黄岛区宏华东商店,86931038,青岛黄岛区红石崖街道办事处大窑,客户经理[和艳飞],张成文
1037020200389 ,青岛经济技术开发区佳瑞源日用百货店,15853273708,山东省青岛市黄岛区辛安街道办事处辛明园小区6号楼一层2号,客户经理[孙冲],曹有文
1037020200394 ,青岛经济技术开发区宏鹏程商店,86811920,山东省青岛市黄岛区辛安办事处辛安村461号,客户经理[高晓岚],姜忠莲
1037020200396 ,青岛经济技术开发区管洪德商店,18560430720,青岛经济技术开发区张戈庄社区450号,客户经理[和艳飞],韩文芹
1037020200406 ,黄岛区李德敏百货商店,15192573997,青岛市黄岛区辛安街道办事处老七中院内,客户经理[高晓岚],李德敏
1037020200417 ,黄岛区华滋商店,15963253212,辛安街道办事处港头陈村286号,客户经理[肖杰方],宋德梓
1037020200420 ,青岛经济技术开发区源永入超市,15192589783,山东省青岛市黄岛区辛安办事处港头臧村410号,客户经理[肖杰方],赵淑媛
1037020200425 ,青岛经济技术开发区海盛鑫超市,15965572109,山东省青岛市黄岛区辛安街道办事处港头臧村149号,客户经理[肖杰方],肖辉杰
1037020200431 ,青岛经济技术开发区徐福红商店,13969754515,青岛开发区辛安办事处港头陈,客户经理[肖杰方],徐福红
1037020200433 ,青岛经济技术开发区利众食品经营部,13705421758,红石崖办事处邵家村路北,客户经理[宋鹏飞],王振堂
1037020200442 ,青岛经济技术开发区大众欢综合商店,15053288292,山东省青岛经济技术开发区辛安办事处辛安村788号,客户经理[高晓岚],张利华
1037020200443 ,黄岛区佳美源副食品商店,13963938297,青岛经济技术开发区江山南路638-5号网点1楼,客户经理[王文玺],王立军
1037020200447 ,青岛市黄岛区柳花泊柳东新兴酒店,86833560,青岛市黄岛区柳花泊镇柳东村（黄河西路681号）,客户经理[高晓岚],葛增凤
1037020200454 ,青岛经济技术开发区鑫祥盛商店,15963268653,青岛开发区辛安办事处东南庄村12号,客户经理[孙冲],侯方强
1037020200456 ,黄岛区福贞慧鑫商店,15192709826,青岛经济技术开发区郭家台子278号,客户经理[和艳飞],孙淑贞
1037020200470 ,黄岛区高秀英商店,15969805864,青岛经济技术开发区管家洼社区154号,客户经理[宋鹏飞],高秀英
1037020200471 ,青岛经济技术开发区康鑫和商店,13589261416,山东省青岛经济技术开发区黄河西路20号,客户经理[高晓岚],任洪财
1037020200487 ,黄岛区港鑫顺源综合商店,13371495319,山东省青岛市黄岛区江山中路新港花园8号网点6幢,客户经理[肖杰方],徐庆花
1037020200488 ,青岛经济技术开发区马美红商店,13034542066,青岛经济技术开发区十字路园社区111号,客户经理[孙冲],马美红
1037020200495 ,黄岛区世纪新村永发商店,15053290173,辛安街道办事处世纪新村（薛家泊子后）,客户经理[孙冲],林芳
1037020200496 ,青岛经济技术开发区共同心源超市,13608972405,青岛经济技术开发区辛安办事处蜊叉泊村,客户经理[肖杰方],邵现友
1037020200499 ,黄岛区低价便民商店,18561790335,青岛市黄岛区海南岛二路岛5号楼西单元102户网点,客户经理[和艳飞],孙锡光
1037020200506 ,青岛经济技术开发区文军顺超市,13864221193,青岛市黄岛区辛安街道办事处港头藏社区,客户经理[肖杰方],冯美爱
1037020200509 ,黄岛区李胜报亭,13791956539,辛安街道办事处澳珂玛工业园,客户经理[肖杰方],李胜
1037020200510 ,青岛经济技术开发区陈奕宏商店,86918318,青岛经济技术开发区十字路园社区110号,客户经理[孙冲],王英
1037020200522 ,青岛经济技术开发区宝春源超市,15092129879,青岛经济技术开发区团结路129号,客户经理[肖杰方],刘保春
1037020200543 ,利群集团股份有限公司青岛经济技术开发区香江路第一分公司,18562879251,青岛经济技术开发区香江路78号一区,客户经理[王贝贝],肖磊
1037020200548 ,黄岛区源惠祥超市,18561365592,开发区长江中路325号17号网点,客户经理[毛靖楠],张凤鑫
1037020200566 ,青岛世贸海悦大酒店有限责任公司,13705423223,青岛经济技术开发区香江路55号,客户经理[王宁章],张军
1037020200572 ,青岛经济技术开发区金长新酒楼,18866393122,青岛经济技术开发区五台山路662号,客户经理[王宁章],张立田
1037020200576 ,青岛海都大酒店有限公司,15963256988,山东省青岛市黄岛区长江中路218号,客户经理[袁彦],田友海
1037020200581 ,青岛经济技术开发区新亨泰大酒店,13969743265,青岛经济技术开发区太行山路521号,客户经理[王宁章],单东海
1037020200594 ,青岛经济技术开发区好人家超市,86882385,开发区九华山路21号楼东1号网点,客户经理[王宁章],相立国
1037020200596 ,青岛经济技术开发区福满林超市,15964976707,青岛经济技术开发区代戈庄村,客户经理[郝雯],唐霞
1037020200604 ,青岛经济技术开发区钟文明商店,15020054071,开发区武夷山路006号网点,客户经理[袁彦],钟文明
1037020200608 ,青岛经济技术开发区玉华商店,18669820316,青岛经济技术开发区东小区4号楼102室,客户经理[袁彦],杨明春
1037020200616 ,青岛经济技术开发区佳欢乐超市,15192709869,青岛经济技术开发区太行山路609号,客户经理[王文玺],许玲
1037020200621 ,黄岛区金福源超市黄埔江路店,15898829886,青岛经济技术开发区黄浦江路469号,客户经理[袁彦],高淑平
1037020200624 ,黄岛区惠之源超市,13706307491,青岛经济技术开发区黄浦江路230号,客户经理[袁彦],高钦绪
1037020200635 ,黄岛区海之福副食品商店,18766289822,青岛经济技术开发区齐长城路8号长城花园B组团5号楼东2号网点,客户经理[王文玺],高岩
1037020200637 ,青岛经济技术开发区天乐家超市,13969780291,青岛经济技术开发区江山南路660号16号楼7号网点,客户经理[王文玺],陈云群
1037020200638 ,青岛良宝商贸有限公司,86898750,青岛经济技术开发区黄铺江路276号内,客户经理[袁彦],丁玉田
1037020200661 ,开发区代戈庄王在殿小卖部,13789879526,青岛经济技术开发区代戈庄,客户经理[郝雯],王在殿
1037020200672 ,黄岛区紫金山副食品商店,13589332073,青岛经济技术开发区黄浦江路127号网点,客户经理[袁彦],苗本永
1037020200678 ,青岛经济技术开发区丹丹商店,86871204,开发区长江中路137号楼网点,客户经理[毛靖楠],丁金秀
1037020200715 ,开发区天祥商店,15725327389,开发区嘉陵江西路301号,客户经理[王宁章],薛立荣
1037020200722 ,黄岛区天鸿祥综合商店,86766419,青岛经济技术开发区江山路2号内1号楼三单元101户,客户经理[王文玺],赵臣文
1037020200739 ,青岛经济技术开发区福龙茶庄,86896465,青岛经济技术开发区武夷山路418号,客户经理[袁彦],薄法龙
1037020200752 ,青岛经济技术开发区陈炳华利民商店,18561421514,青岛经济技术开发区八里庄村194号,客户经理[高晓岚],陈炳华
1037020200763 ,青岛经济技术开发区北江批发部,13853239599,青岛经济技术开发区江路132号楼3号网点,客户经理[王宁章],魏垂亮
1037020200774 ,青岛经济技术开发区怡兴宏酒楼,86899996,山东省青岛市黄岛区黄浦江路44号网点,客户经理[袁彦],丁全增
1037020200775 ,青岛经济技术开发区国平商店,13616399671,青岛经济技术开发区武夷山路630号楼102号,客户经理[王宁章],薛国平
1037020200782 ,青岛经济技术开发区衣丰冰淇淋店,15954800509,青岛经济技术开发区武夷山路452号网点,客户经理[袁彦],衣桂莲
1037020200784 ,青岛经济技术开发区西海岸副食品超市,15254238323,青岛经济技术开发区源江路94号,客户经理[王宁章],刘钦伟
1037020200792 ,开发区大众商店,18863950115,青岛经济技术开发区岔河村,客户经理[王文玺],赵清忠
1037020200832 ,黄岛区王介华副食品商店,15092037096,青岛经济技术开发区武夷山路646号,客户经理[王宁章],王介华
1037020200839 ,青岛经济技术开发区高青商店,15866837013,青岛经济技术开发区高家台村238号,客户经理[薛崇超],高全奕
1037020200843 ,黄岛区德鑫利副食品商店,15192573677,青岛经济技术开发区北江路新时代商住楼网点西8户,客户经理[王宁章],赵建飞
1037020200853 ,青岛经济技术开发区奋博超市,18669705856,青岛经济技术开发区黄浦江路111号网点,客户经理[袁彦],翟良绪
1037020200857 ,青岛经济技术开发区春海美茶庄,13165027625,青岛经济技术开发区岔河村1号楼102户,客户经理[王文玺],曲先美
1037020200858 ,开发区曲海荣日用品商店,15806562399,开发区岔河村东21号,客户经理[王文玺],曲海荣
1037020200863 ,黄岛区彰果泉副食品商店,15064829574,青岛经济技术开发区香江二（路）第二劳动公寓栋网点108,客户经理[王宁章],张国权
1037020200866 ,青岛经济技术开发区全意添超市,15318706577,青岛经济技术开发区代戈庄75号,客户经理[郝雯],冷传雪
1037020200871 ,青岛经济技术开发区利顺德酒店,13646429199,青岛经济技术开发区嘉陵江西路163号,客户经理[王宁章],薛爱萍
1037020200879 ,青岛经济技术开发区荣之润商店,13793235563,青岛经济技术开发区武夷山市场网点150号,客户经理[袁彦],卢孝兰
1037020200892 ,黄岛区德利达商店,13475876343,青岛经济技术开发区长江路办事处薛辛庄社区九顶山小区,客户经理[郝雯],徐金秀
1037020200906 ,黄岛区李凤山副食品商店,13026526072,青岛经济技术开发区江山路西小区A组团4号楼1单元一层北8号,客户经理[王文玺],李凤山
1037020200913 ,黄岛区爱佳佳副食品商店,18325422376,青岛经济技术开发区九华山路西侧95号楼40号,客户经理[王宁章],刘淑兰
1037020200917 ,青岛经济技术开发区天天意超市,18661933463,青岛经济技术开发区香江二路44号网点,客户经理[王宁章],刘涛
1037020200930 ,青岛经济技术开发区金港湾商店,15318725697,青岛经济技术开发区武夷山路618号楼六单元101,客户经理[王宁章],孙秀霞
1037020200934 ,黄岛区合剑波商店,15963210725,青岛经济技术开发区武夷山路336号北侧网点房,客户经理[袁彦],张文剑
1037020200948 ,黄岛区天元泰副食品摊位,13589337787,青岛经济技术开发区香江路68-7号吉韩商厦,客户经理[王宁章],韩娥
1037020200950 ,青岛经济技术开发区金源源超市,15318706555,青岛经济技术开发区江山南路534号楼8号网点,客户经理[王文玺],张洪宝
1037020200954 ,青岛经济技术开发区长英河副食品店,13854260852,青岛经济技术开发区嘉陵江路156号,客户经理[王宁章],句荣河
1037020200958 ,开发区健兴商店,13012447345,太行山路208栋1单元1楼102号,客户经理[郝雯],唐艳伟
1037020200962 ,黄岛区汇峰超市,83918234,青岛经济技术开发区江山南路638-2号网点,客户经理[王文玺],隋芳
1037020200969 ,青岛开发区胜贤土产综合商店,86887249,青岛经济技术开发区紫金山路17号,客户经理[王宁章],侯胜贤
1037020200980 ,青岛经济技术开发区程宇超市,15318706720,山东省青岛经济技术开发区团结路161号家和二期B组团6号楼6号网点,客户经理[王文玺],程波见
1037020200986 ,青岛经济技术开发区益玛特超市,86997233,青岛经济技术开发区庐山路天泰小区34-1-5网点,客户经理[郝雯],金铁虎
1037020200990 ,青岛经济技术开发区艾长祥商店,13854268990,青岛经济技术开发区北江支路27号楼1号（伟业花园）,客户经理[王宁章],艾长祥
1037020200991 ,利群集团青岛瑞泰购物广场有限公司,13730907466,青岛经济技术开发区长江中路266号,客户经理[王贝贝],丁琳
1037020200995 ,黄岛区悦宾超市,13789879540,青岛经济技术开发区伟业花园B区4栋8号,客户经理[王宁章],刘善敏
1037020201000 ,青岛山海天酒店管理有限公司,15966803466,山东省青岛市黄岛区玉山路12号,客户经理[袁彦],薛建山
1037020201004 ,青岛经济技术开发区润德欣商店,15864727299,青岛经济技术开发区武夷山市场蔬菜市,客户经理[袁彦],张德禄
1037020201005 ,黄岛区丰满源百货商店,15964281548,青岛经济技术开发区紫金山路374号楼4号,客户经理[王宁章],董桂岩
